"file","test","passed","failed","errors","skipped","warnings","details"
"test-api-service.R","the service honors the whole issue-1 contract",0,0,0,1,0,"Reason: On CRAN"
"test-api-service.R","the service reads a JATS XML article, end to end",0,0,0,1,0,"Reason: On CRAN"
"test-api-service.R","the auth helper is strict about tokens",8,0,0,0,0,""
"test-api-service.R","hashed registry entries authorize without storing plaintext",6,0,0,0,0,""
"test-api-service.R","the BYOK key is scrubbed from parse failure text",2,0,0,0,0,""
"test-api-service.R","the RESULTS csv neutralizes formula injection",2,0,0,0,0,""
"test-api-service.R","the TEMPLATE csv stays verbatim - the round trip must close",3,0,0,0,0,""
"test-api-service.R","the CSV sanitizer covers all four Excel trigger characters",5,0,0,0,0,""
"test-api-service.R",".apiAnalyze rejects an oversized table before simulating",3,0,0,0,0,""
"test-api-service.R","the AI key never enters the child options blob (M4)",5,0,0,0,0,""
"test-api-service.R","parseOne.R folds the env-var key back into the parse args (M4)",2,0,0,0,0,""
"test-api-service.R","the decompression-bomb preflight rejects an over-inflating zip",3,0,0,0,0,""
"test-api-service.R","the size verdict decides every branch correctly",10,0,0,0,0,""
"test-api-service.R","an oversized upload is refused 413 over HTTP",0,0,0,1,0,"Reason: On CRAN"
"test-api-service.R","the analyze gate also bounds arm N and column count",4,0,0,0,0,""
"test-api-service.R","the zip preflight does not fall open on a non-zip xlsx",5,0,0,0,0,""
"test-api-service.R","the AI key reaches a REAL spawned child through the environment",0,0,0,1,0,"Reason: On CRAN"
"test-api-service.R","a custom error handler is registered, so 500s leak nothing",3,0,0,0,0,""
"test-api-service.R","/analyze names the FAIL-SAFE rows in its own reply (screen 1609, F2)",0,0,0,1,0,"Reason: On CRAN"
"test-api-service.R","/analyze returns the journal-style table per trial",0,0,0,1,0,"Reason: On CRAN"
"test-api-service.R","CSV sanitizing covers COLUMN NAMES, not just cell values",8,0,0,0,0,""
"test-api-service.R","journalTables carry the sanitizing too",0,0,0,1,0,"Reason: On CRAN"
"test-api-service.R","gate bypasses via column NAMING are closed",8,0,0,0,0,""
"test-api-service.R","a partial-matching column name cannot crash validation",2,0,0,0,0,""
"test-api-service.R","the compute budget covers CATEGORICAL work too",5,0,0,0,0,""
"test-api-service.R","the size gates see N whatever the header calls it",7,0,0,0,0,""
"test-api-service.R","ordinary trials in the thousands are ACCEPTED",6,0,0,0,0,""
"test-api-service.R","the compute-product gate refuses what the size gates allow",17,0,0,0,0,""
"test-api-service.R","the journal-size estimate grows with category expansion",5,0,0,0,0,""
"test-api-service.R","an ordinary table still gets its journal tables",0,0,0,1,0,"Reason: On CRAN"
